provinsi,tanggal,hotel__ratio,flight__ratio,train__ratio,bus__ratio,ship__ratio,holiday_ratio,recreation_ratio,destination_ratio
ACEH,2025-02-01,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09
ACEH,2025-03-01,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08
ACEH,2025-04-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08
ACEH,2025-05-01,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08
ACEH,2025-06-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08
ACEH,2025-07-01,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08
BALI,2019-01-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
BALI,2019-02-01,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08
BALI,2019-03-01,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.1904761763038553e-08,1.1904761763038553e-08,1.1904761763038553e-08,1.1904761763038553e-08
BALI,2019-04-01,1.1904761763038553e-08,1.1904761763038553e-08,1.1904761763038553e-08,1.1904761763038553e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08
BALI,2019-05-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08
BALI,2019-06-01,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08
BALI,2019-07-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
BALI,2019-08-01,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08
BALI,2019-09-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08
BALI,2019-10-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
BALI,2019-11-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
BALI,2019-12-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
BALI,2020-01-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
BALI,2020-02-01,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08
BALI,2020-03-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
